"","R'S ID-SERIAL #","SAMPLING WEIGHT","year","Sex","Race","High_school_grades","College_aspirations","Parents_education","Social_Trust","Social_Responsibility","Religiosity","Cigarettes_Lifetime","Cigarettes_30Day","Alcohol_Lifetime","Alcohol_30Day","Binge_Drinking","Marijuana_Lifetime","Marijuana_30Day","Other_illicit_drugs_Lifetime","Other_illicit_drugs_30Day","Hallucinogens_Lifetime","Hallucinogens_30Day","Cocaine_Lifetime","Cocaine_30Day","Amphetamines_Lifetime","Amphetamines_30Day","Barbiturates_Lifetime","Barbiturates_30Day","Tranquilizers_Lifetime","Tranquilizers_30Day","Narcotics_Lifetime","Narcotics_30Day"
"1",10008,1.5194,2009,"Male","White",5,"No college plans","5",2,1.66666666666667,0.414827644311047,2,1,5,1,1,7,1,"Yes","No",1,1,1,1,2,1,1,1,2,1,4,1
"2",10013,0.5392,2009,"Female","Black",3,"4-year college plans","3",3,3.33333333333333,-0.459383539475374,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"3",10016,0.4912,2009,"Female","White",4,"4-year college plans","6",2,2.66666666666667,-1.37583954183271,5,4,7,2,1,7,4,"Yes","No",1,1,1,1,2,1,1,1,1,1,1,1
"4",10017,0.6459,2009,"Male","White",6,"4-year college plans","4",1,1.66666666666667,0.859916499136577,2,2,7,2,1,7,4,"Yes","Yes",1,1,1,1,2,2,1,1,1,1,2,2
"5",10018,0.5939,2009,"Male","Hispanic",7,"4-year college plans","3",2.33333333333333,3.33333333333333,1.30795157305972,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"6",10023,0.9938,2009,"Male","Other/missing",9,"4-year college plans","4",2,2,1.30795157305972,2,1,2,1,1,1,1,"Yes","No",1,1,1,1,1,1,1,1,1,1,3,1
"7",10027,0.4802,2009,"Male","White",6,"4-year college plans","4",2.33333333333333,2.66666666666667,0.413354534762241,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"8",10028,0.6063,2009,"Female","Hispanic",7,"4-year college plans","4",1.33333333333333,1.66666666666667,0.413354534762241,1,1,6,2,1,1,1,"Yes","No",1,1,1,1,1,1,1,1,1,1,2,1
"9",10029,1.8051,2009,"Male","Black",6,"4-year college plans","6",1,2.66666666666667,0.414827644311047,2,1,4,1,1,3,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"10",10031,0.1618,2009,"Female","White",9,"4-year college plans","6",1.33333333333333,3.66666666666667,1.30795157305972,2,1,7,4,2,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"11",10037,0.813,2009,"Male","White",7,"4-year college plans","5",2.33333333333333,3,0.859916499136577,3,2,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"12",10038,0.4428,2009,"Female","White",8,"4-year college plans","4",1,3,0.414827644311047,4,2,7,4,5,7,5,"Yes","Yes",1,1,1,1,1,1,2,1,1,1,5,4
"13",10039,2.2315,2009,"Female","Hispanic",7,"No college plans","4",1.66666666666667,2.33333333333333,1.30795157305972,1,1,5,3,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
